# 2023-04-06, 16:20:48.459446
# fs = 10 Hz, N = 200
# NI 9201, 23.0.0
t,ai0,ai1
0.000000000,0.013960946,0.008976160
0.100000000,0.029385284,0.039820768
0.200000000,0.024243838,0.014116928
0.300000000,0.003678054,0.014116928
0.400000000,0.003678054,-0.001305376
0.500000000,-0.001463392,0.014116928
0.600000000,0.008819500,0.014116928
0.700000000,-0.011746284,-0.006446144
0.800000000,0.003678054,0.014116928
0.900000000,0.008819500,-0.006446144
1.000000000,0.019102392,0.019257696
1.100000000,0.008819500,0.019257696
1.200000000,-0.006604838,0.003835392
1.300000000,-0.011746284,-0.001305376
1.400000000,-0.011746284,-0.001305376
1.500000000,-0.011746284,-0.006446144
1.600000000,0.003678054,0.008976160
1.700000000,-0.027170622,-0.011586912
1.800000000,-0.011746284,-0.006446144
1.900000000,-0.011746284,-0.011586912
2.000000000,-0.032312068,-0.016727680
2.100000000,-0.011746284,-0.006446144
2.200000000,-0.006604838,-0.021868448
2.300000000,-0.006604838,-0.016727680
2.400000000,-0.032312068,0.008976160
2.500000000,-0.022029176,0.003835392
2.600000000,-0.011746284,-0.021868448
2.700000000,-0.011746284,-0.001305376
2.800000000,-0.006604838,-0.011586912
2.900000000,-0.006604838,-0.032149984
3.000000000,-0.022029176,-0.011586912
3.100000000,-0.016887730,-0.027009216
3.200000000,-0.011746284,-0.032149984
3.300000000,-0.022029176,-0.021868448
3.400000000,-0.037453514,-0.016727680
3.500000000,-0.032312068,-0.021868448
3.600000000,-0.006604838,-0.027009216
3.700000000,-0.016887730,-0.037290752
3.800000000,-0.027170622,-0.027009216
3.900000000,-0.006604838,-0.016727680
4.000000000,-0.022029176,-0.006446144
4.100000000,-0.022029176,0.003835392
4.200000000,-0.001463392,-0.021868448
4.300000000,-0.016887730,0.008976160
4.400000000,-0.032312068,-0.016727680
4.500000000,-0.022029176,-0.016727680
4.600000000,-0.001463392,-0.011586912
4.700000000,-0.032312068,-0.032149984
4.800000000,-0.022029176,-0.016727680
4.900000000,-0.047736406,-0.021868448
5.000000000,-0.016887730,-0.021868448
5.100000000,-0.037453514,-0.021868448
5.200000000,-0.016887730,-0.016727680
5.300000000,-0.032312068,-0.027009216
5.400000000,-0.011746284,-0.016727680
5.500000000,-0.027170622,-0.006446144
5.600000000,-0.027170622,-0.011586912
5.700000000,-0.032312068,-0.037290752
5.800000000,-0.037453514,-0.021868448
5.900000000,-0.022029176,-0.027009216
6.000000000,-0.022029176,-0.027009216
6.100000000,-0.001463392,-0.016727680
6.200000000,-0.016887730,-0.016727680
6.300000000,-0.032312068,-0.016727680
6.400000000,-0.032312068,-0.042431520
6.500000000,-0.027170622,-0.027009216
6.600000000,-0.016887730,-0.032149984
6.700000000,-0.006604838,-0.011586912
6.800000000,-0.047736406,-0.016727680
6.900000000,-0.047736406,-0.037290752
7.000000000,-0.032312068,-0.042431520
7.100000000,-0.022029176,-0.042431520
7.200000000,-0.032312068,-0.032149984
7.300000000,-0.032312068,-0.032149984
7.400000000,-0.027170622,-0.021868448
7.500000000,-0.032312068,-0.011586912
7.600000000,-0.001463392,-0.027009216
7.700000000,-0.016887730,-0.006446144
7.800000000,-0.022029176,-0.021868448
7.900000000,-0.027170622,-0.021868448
8.000000000,-0.032312068,-0.011586912
8.100000000,-0.027170622,-0.016727680
8.200000000,-0.001463392,-0.021868448
8.300000000,-0.022029176,-0.027009216
8.400000000,-0.011746284,-0.011586912
8.500000000,-0.032312068,-0.011586912
8.600000000,-0.016887730,-0.021868448
8.700000000,-0.022029176,-0.027009216
8.800000000,-0.032312068,-0.027009216
8.900000000,-0.016887730,-0.006446144
9.000000000,-0.011746284,-0.011586912
9.100000000,-0.047736406,-0.032149984
9.200000000,-0.016887730,-0.011586912
9.300000000,-0.011746284,-0.027009216
9.400000000,-0.027170622,-0.021868448
9.500000000,-0.016887730,-0.021868448
9.600000000,-0.022029176,-0.016727680
9.700000000,-0.016887730,-0.021868448
9.800000000,-0.006604838,-0.037290752
9.900000000,-0.016887730,-0.021868448
10.000000000,-0.022029176,-0.016727680
10.100000000,-0.037453514,-0.032149984
10.200000000,-0.027170622,-0.027009216
10.300000000,-0.016887730,-0.021868448
10.400000000,-0.022029176,-0.011586912
10.500000000,-0.042594960,-0.042431520
10.600000000,-0.016887730,-0.037290752
10.700000000,-0.022029176,-0.027009216
10.800000000,-0.016887730,-0.037290752
10.900000000,-0.032312068,-0.016727680
11.000000000,-0.032312068,-0.021868448
11.100000000,-0.027170622,-0.027009216
11.200000000,-0.022029176,-0.037290752
11.300000000,-0.037453514,-0.027009216
11.400000000,-0.032312068,-0.021868448
11.500000000,-0.042594960,-0.052713056
11.600000000,-0.047736406,-0.052713056
11.700000000,-0.032312068,-0.037290752
11.800000000,-0.032312068,-0.021868448
11.900000000,-0.027170622,-0.042431520
12.000000000,-0.058019298,-0.047572288
12.100000000,-0.052877852,-0.047572288
12.200000000,-0.088867974,-0.078416896
12.300000000,-0.022029176,-0.027009216
12.400000000,-0.063160744,-0.057853824
12.500000000,-0.073443636,-0.068135360
12.600000000,-0.042594960,-0.057853824
12.700000000,-0.068302190,-0.083557664
12.800000000,-0.058019298,-0.052713056
12.900000000,-0.063160744,-0.057853824
13.000000000,-0.088867974,-0.088698432
13.100000000,-0.073443636,-0.073276128
13.200000000,-0.068302190,-0.073276128
13.300000000,-0.068302190,-0.068135360
13.400000000,-0.088867974,-0.073276128
13.500000000,-0.083726528,-0.088698432
13.600000000,-0.078585082,-0.088698432
13.700000000,-0.109433758,-0.093839200
13.800000000,-0.094009420,-0.088698432
13.900000000,-0.088867974,-0.062994592
14.000000000,-0.063160744,-0.078416896
