# 2023-04-06, 16:19:15.091059
# fs = 10 Hz, N = 200
# NI 9201, 23.0.0
t,ai0,ai1
0.000000000,0.229901678,-0.242921472
0.100000000,0.250467462,-0.258343776
0.200000000,0.255608908,-0.268625312
0.300000000,0.240184570,-0.284047616
0.400000000,0.245326016,-0.284047616
0.500000000,0.250467462,-0.263484544
0.600000000,0.260750354,-0.248062240
0.700000000,0.219618786,-0.294329152
0.800000000,0.255608908,-0.258343776
0.900000000,0.219618786,-0.268625312
1.000000000,0.276174692,-0.253203008
1.100000000,0.235043124,-0.278906848
1.200000000,0.240184570,-0.263484544
1.300000000,0.265891800,-0.263484544
1.400000000,0.271033246,-0.263484544
1.500000000,0.271033246,-0.289188384
1.600000000,0.235043124,-0.278906848
1.700000000,0.240184570,-0.304610688
1.800000000,0.240184570,-0.304610688
1.900000000,0.245326016,-0.273766080
2.000000000,0.245326016,-0.278906848
2.100000000,0.255608908,-0.268625312
2.200000000,0.245326016,-0.278906848
2.300000000,0.250467462,-0.273766080
2.400000000,0.235043124,-0.304610688
2.500000000,0.245326016,-0.258343776
2.600000000,0.224760232,-0.309751456
2.700000000,0.235043124,-0.309751456
2.800000000,0.204194448,-0.299469920
2.900000000,0.219618786,-0.289188384
3.000000000,0.250467462,-0.273766080
3.100000000,0.235043124,-0.304610688
3.200000000,0.240184570,-0.258343776
3.300000000,0.224760232,-0.299469920
3.400000000,0.245326016,-0.284047616
3.500000000,0.224760232,-0.278906848
3.600000000,0.260750354,-0.263484544
3.700000000,0.214477340,-0.309751456
3.800000000,0.240184570,-0.289188384
3.900000000,0.245326016,-0.258343776
4.000000000,0.229901678,-0.304610688
4.100000000,0.219618786,-0.299469920
4.200000000,0.240184570,-0.273766080
4.300000000,0.240184570,-0.278906848
4.400000000,0.219618786,-0.309751456
4.500000000,0.235043124,-0.314892224
4.600000000,0.219618786,-0.299469920
4.700000000,0.204194448,-0.304610688
4.800000000,0.193911556,-0.309751456
4.900000000,0.204194448,-0.309751456
5.000000000,0.199053002,-0.325173760
5.100000000,0.163062880,-0.366299904
5.200000000,0.168204326,-0.366299904
5.300000000,0.178487218,-0.325173760
5.400000000,0.209335894,-0.314892224
5.500000000,0.163062880,-0.356018368
5.600000000,0.204194448,-0.340596064
5.700000000,0.178487218,-0.350877600
5.800000000,0.168204326,-0.345736832
5.900000000,0.178487218,-0.335455296
6.000000000,0.183628664,-0.340596064
6.100000000,0.157921434,-0.356018368
6.200000000,0.178487218,-0.361159136
6.300000000,0.157921434,-0.371440672
6.400000000,0.188770110,-0.356018368
6.500000000,0.178487218,-0.340596064
6.600000000,0.152779988,-0.361159136
6.700000000,0.188770110,-0.330314528
6.800000000,0.188770110,-0.350877600
6.900000000,0.183628664,-0.340596064
7.000000000,0.157921434,-0.361159136
7.100000000,0.178487218,-0.345736832
7.200000000,0.204194448,-0.320032992
7.300000000,0.173345772,-0.320032992
7.400000000,0.188770110,-0.345736832
7.500000000,0.157921434,-0.325173760
7.600000000,0.173345772,-0.325173760
7.700000000,0.188770110,-0.325173760
7.800000000,0.152779988,-0.330314528
7.900000000,0.173345772,-0.366299904
8.000000000,0.142497096,-0.371440672
8.100000000,0.147638542,-0.392003744
8.200000000,0.142497096,-0.386862976
8.300000000,0.137355650,-0.381722208
8.400000000,0.111648420,-0.412566816
8.500000000,0.106506974,-0.417707584
8.600000000,0.101365528,-0.433129888
8.700000000,0.080799744,-0.443411424
8.800000000,0.096224082,-0.422848352
8.900000000,0.055092514,-0.458833728
9.000000000,0.049951068,-0.469115264
9.100000000,0.024243838,-0.510241408
9.200000000,-0.011746284,-0.525663712
9.300000000,-0.011746284,-0.561649088
9.400000000,-0.016887730,-0.582212160
9.500000000,-0.052877852,-0.571930624
9.600000000,-0.063160744,-0.602775232
9.700000000,-0.078585082,-0.587352928
9.800000000,-0.058019298,-0.582212160
9.900000000,-0.042594960,-0.566789856
10.000000000,-0.042594960,-0.571930624
10.100000000,-0.037453514,-0.597634464
10.200000000,-0.047736406,-0.592493696
10.300000000,-0.011746284,-0.561649088
10.400000000,0.008819500,-0.535945248
10.500000000,0.013960946,-0.520522944
10.600000000,0.060233960,-0.494819104
10.700000000,0.091082636,-0.433129888
10.800000000,0.096224082,-0.412566816
10.900000000,0.132214204,-0.386862976
11.000000000,0.163062880,-0.381722208
11.100000000,0.173345772,-0.340596064
11.200000000,0.168204326,-0.330314528
11.300000000,0.147638542,-0.371440672
11.400000000,0.111648420,-0.392003744
11.500000000,0.111648420,-0.376581440
11.600000000,0.132214204,-0.376581440
11.700000000,0.127072758,-0.417707584
11.800000000,0.091082636,-0.412566816
11.900000000,0.085941190,-0.433129888
12.000000000,0.055092514,-0.443411424
12.100000000,-0.011746284,-0.484537568
12.200000000,0.008819500,-0.469115264
12.300000000,-0.001463392,-0.510241408
12.400000000,-0.032312068,-0.551367552
12.500000000,-0.032312068,-0.556508320
12.600000000,-0.011746284,-0.535945248
12.700000000,0.013960946,-0.525663712
12.800000000,0.008819500,-0.499959872
12.900000000,-0.058019298,-0.566789856
13.000000000,-0.088867974,-0.592493696
13.100000000,-0.109433758,-0.633619840
13.200000000,-0.088867974,-0.628479072
13.300000000,-0.088867974,-0.602775232
13.400000000,-0.094009420,-0.654182912
13.500000000,-0.088867974,-0.649042144
13.600000000,-0.068302190,-0.592493696
13.700000000,-0.088867974,-0.602775232
13.800000000,-0.099150866,-0.623338304
13.900000000,-0.078585082,-0.628479072
14.000000000,-0.083726528,-0.618197536
14.100000000,-0.063160744,-0.587352928
14.200000000,-0.037453514,-0.566789856
14.300000000,-0.027170622,-0.556508320
14.400000000,-0.027170622,-0.587352928
14.500000000,-0.495042208,-0.016727680
14.600000000,-0.484759316,-0.001305376
14.700000000,-0.407637626,0.014116928
14.800000000,-0.361364612,-0.011586912
14.900000000,-0.376788950,0.014116928
15.000000000,-0.361364612,0.024398464
15.100000000,-0.376788950,-0.001305376
15.200000000,-0.397354734,0.014116928
15.300000000,-0.376788950,0.008976160
15.400000000,-0.392213288,0.019257696
15.500000000,-0.361364612,-0.011586912
15.600000000,-0.351081720,0.008976160
15.700000000,-0.279101476,-0.021868448
15.800000000,-0.155706772,-0.001305376
15.900000000,-0.135140988,0.029539232
16.000000000,-0.140282434,0.014116928
16.100000000,0.517822654,0.008976160
16.200000000,0.522964100,0.034680000
16.300000000,0.522964100,-0.006446144
16.400000000,0.522964100,0.003835392
16.500000000,0.517822654,0.003835392
16.600000000,0.522964100,-0.001305376
16.700000000,0.522964100,-0.001305376
16.800000000,0.522964100,-0.001305376
16.900000000,0.517822654,-0.001305376
17.000000000,0.512681208,0.003835392
17.100000000,0.512681208,-0.006446144
17.200000000,0.517822654,0.003835392
17.300000000,0.522964100,-0.006446144
17.400000000,0.517822654,0.003835392
17.500000000,0.517822654,-0.001305376
17.600000000,0.517822654,-0.006446144
17.700000000,0.517822654,-0.001305376
17.800000000,0.522964100,-0.001305376
17.900000000,0.528105546,0.003835392
18.000000000,0.528105546,-0.001305376
18.100000000,0.517822654,-0.006446144
18.200000000,0.517822654,-0.001305376
18.300000000,0.522964100,-0.001305376
18.400000000,0.517822654,-0.001305376
18.500000000,0.517822654,-0.001305376
18.600000000,0.517822654,-0.001305376
18.700000000,0.517822654,-0.011586912
18.800000000,0.522964100,-0.001305376
18.900000000,0.517822654,0.003835392
19.000000000,0.522964100,-0.006446144
19.100000000,0.517822654,-0.001305376
19.200000000,0.528105546,0.003835392
19.300000000,0.522964100,-0.001305376
19.400000000,0.522964100,-0.001305376
19.500000000,0.522964100,0.003835392
19.600000000,0.517822654,-0.001305376
19.700000000,0.522964100,-0.001305376
19.800000000,0.522964100,-0.001305376
19.900000000,0.492115424,-0.006446144
