# 2023-04-06, 16:21:13.150458
# fs = 10 Hz, N = 200
# NI 9201, 23.0.0
t,ai0,ai1
0.000000000,-0.279101476,-0.258343776
0.100000000,-0.258535692,-0.232639936
0.200000000,-0.227687016,-0.212076864
0.300000000,-0.227687016,-0.201795328
0.400000000,-0.222545570,-0.176091488
0.500000000,-0.186555448,-0.155528416
0.600000000,-0.140282434,-0.134965344
0.700000000,-0.129999542,-0.129824576
0.800000000,-0.124858096,-0.124683808
0.900000000,-0.109433758,-0.114402272
1.000000000,-0.109433758,-0.109261504
1.100000000,-0.094009420,-0.093839200
1.200000000,-0.099150866,-0.098979968
1.300000000,-0.063160744,-0.068135360
1.400000000,-0.063160744,-0.057853824
1.500000000,-0.078585082,-0.073276128
1.600000000,-0.052877852,-0.057853824
1.700000000,-0.032312068,-0.037290752
1.800000000,-0.047736406,-0.057853824
1.900000000,-0.042594960,-0.037290752
2.000000000,-0.058019298,-0.047572288
2.100000000,-0.063160744,-0.062994592
2.200000000,-0.032312068,-0.068135360
2.300000000,-0.052877852,-0.057853824
2.400000000,-0.058019298,-0.088698432
2.500000000,-0.088867974,-0.104120736
2.600000000,-0.104292312,-0.124683808
2.700000000,-0.114575204,-0.134965344
2.800000000,-0.129999542,-0.145246880
2.900000000,-0.129999542,-0.160669184
3.000000000,-0.150565326,-0.160669184
3.100000000,-0.171131110,-0.186373024
3.200000000,-0.186555448,-0.201795328
3.300000000,-0.201979786,-0.227499168
3.400000000,-0.196838340,-0.212076864
3.500000000,-0.222545570,-0.237780704
3.600000000,-0.237969908,-0.263484544
3.700000000,-0.253394246,-0.268625312
3.800000000,-0.268818584,-0.268625312
3.900000000,-0.253394246,-0.294329152
4.000000000,-0.299667260,-0.294329152
4.100000000,-0.289384368,-0.309751456
4.200000000,-0.284242922,-0.278906848
4.300000000,-0.294525814,-0.289188384
4.400000000,-0.289384368,-0.294329152
4.500000000,-0.304808706,-0.309751456
4.600000000,-0.315091598,-0.304610688
4.700000000,-0.284242922,-0.278906848
4.800000000,-0.294525814,-0.299469920
4.900000000,-0.268818584,-0.268625312
5.000000000,-0.273960030,-0.309751456
5.100000000,-0.315091598,-0.278906848
5.200000000,-0.299667260,-0.289188384
5.300000000,-0.299667260,-0.294329152
5.400000000,-0.268818584,-0.273766080
5.500000000,-0.273960030,-0.248062240
5.600000000,-0.253394246,-0.258343776
5.700000000,-0.237969908,-0.232639936
5.800000000,-0.243111354,-0.242921472
5.900000000,-0.243111354,-0.248062240
6.000000000,-0.227687016,-0.217217632
6.100000000,-0.207121232,-0.212076864
6.200000000,-0.191696894,-0.201795328
6.300000000,-0.212262678,-0.217217632
6.400000000,-0.186555448,-0.191513792
6.500000000,-0.186555448,-0.191513792
6.600000000,-0.191696894,-0.196654560
6.700000000,-0.201979786,-0.191513792
6.800000000,-0.181414002,-0.191513792
6.900000000,-0.191696894,-0.196654560
7.000000000,-0.165989664,-0.165809952
7.100000000,-0.160848218,-0.160669184
7.200000000,-0.155706772,-0.176091488
7.300000000,-0.165989664,-0.150387648
7.400000000,-0.135140988,-0.145246880
7.500000000,-0.124858096,-0.124683808
7.600000000,-0.135140988,-0.145246880
7.700000000,-0.124858096,-0.134965344
7.800000000,-0.124858096,-0.129824576
7.900000000,-0.104292312,-0.134965344
8.000000000,-0.104292312,-0.098979968
