# 2023-04-06, 15:54:30.686820
# fs = 10 Hz, N = 200
# NI 9201, 23.0.0
t,ai0
0.000000000,-0.412779072
0.100000000,-0.448769194
0.200000000,-0.423061964
0.300000000,-0.433344856
0.400000000,-0.412779072
0.500000000,-0.433344856
0.600000000,-0.423061964
0.700000000,-0.438486302
0.800000000,-0.453910640
0.900000000,-0.412779072
1.000000000,-0.433344856
1.100000000,-0.448769194
1.200000000,-0.459052086
1.300000000,-0.423061964
1.400000000,-0.428203410
1.500000000,-0.464193532
1.600000000,-0.428203410
1.700000000,-0.433344856
1.800000000,-0.423061964
1.900000000,-0.423061964
2.000000000,-0.448769194
2.100000000,-0.464193532
2.200000000,-0.438486302
2.300000000,-0.443627748
2.400000000,-0.433344856
2.500000000,-0.428203410
2.600000000,-0.443627748
2.700000000,-0.459052086
2.800000000,-0.443627748
2.900000000,-0.453910640
3.000000000,-0.423061964
3.100000000,-0.464193532
3.200000000,-0.428203410
3.300000000,-0.464193532
3.400000000,-0.453910640
3.500000000,-0.448769194
3.600000000,-0.443627748
3.700000000,-0.484759316
3.800000000,-0.464193532
3.900000000,-0.428203410
4.000000000,-0.464193532
4.100000000,-0.459052086
4.200000000,-0.438486302
4.300000000,-0.474476424
4.400000000,-0.443627748
4.500000000,-0.459052086
4.600000000,-0.459052086
4.700000000,-0.479617870
4.800000000,-0.464193532
4.900000000,-0.479617870
5.000000000,-0.469334978
5.100000000,-0.469334978
5.200000000,-0.448769194
5.300000000,-0.500183654
5.400000000,-0.464193532
5.500000000,-0.479617870
5.600000000,-0.479617870
5.700000000,-0.474476424
5.800000000,-0.489900762
5.900000000,-0.474476424
6.000000000,-0.459052086
6.100000000,-0.479617870
6.200000000,-0.500183654
6.300000000,-0.479617870
6.400000000,-0.474476424
6.500000000,-0.505325100
6.600000000,-0.469334978
6.700000000,-0.479617870
6.800000000,-0.495042208
6.900000000,-0.489900762
7.000000000,-0.489900762
7.100000000,-0.459052086
7.200000000,-0.484759316
7.300000000,-0.459052086
7.400000000,-0.489900762
7.500000000,-0.495042208
7.600000000,-0.505325100
7.700000000,-0.505325100
7.800000000,-0.495042208
7.900000000,-0.505325100
8.000000000,-0.489900762
8.100000000,-0.515607992
8.200000000,-0.500183654
8.300000000,-0.500183654
8.400000000,-0.505325100
8.500000000,-0.474476424
8.600000000,-0.489900762
8.700000000,-0.495042208
8.800000000,-0.505325100
8.900000000,-0.500183654
9.000000000,-0.531032330
9.100000000,-0.525890884
9.200000000,-0.489900762
9.300000000,-0.505325100
9.400000000,-0.541315222
9.500000000,-0.546456668
9.600000000,-0.520749438
9.700000000,-0.541315222
9.800000000,-0.551598114
9.900000000,-0.546456668
10.000000000,-0.582446790
10.100000000,-0.587588236
10.200000000,-0.577305344
10.300000000,-0.597871128
10.400000000,-0.567022452
10.500000000,-0.556739560
10.600000000,-0.556739560
10.700000000,-0.551598114
10.800000000,-0.592729682
10.900000000,-0.613295466
11.000000000,-0.587588236
11.100000000,-0.567022452
11.200000000,-0.603012574
11.300000000,-0.572163898
11.400000000,-0.572163898
11.500000000,-0.597871128
11.600000000,-0.603012574
11.700000000,-0.536173776
11.800000000,-0.567022452
11.900000000,-0.582446790
12.000000000,-0.572163898
12.100000000,-0.561881006
12.200000000,-0.577305344
12.300000000,-0.551598114
12.400000000,-0.582446790
12.500000000,-0.561881006
12.600000000,-0.567022452
12.700000000,-0.567022452
12.800000000,-0.572163898
12.900000000,-0.556739560
13.000000000,-0.592729682
13.100000000,-0.582446790
13.200000000,-0.577305344
13.300000000,-0.567022452
13.400000000,-0.587588236
13.500000000,-0.582446790
13.600000000,-0.587588236
13.700000000,-0.587588236
13.800000000,-0.567022452
13.900000000,-0.577305344
14.000000000,-0.572163898
14.100000000,-0.577305344
14.200000000,-0.582446790
14.300000000,-0.567022452
14.400000000,-0.613295466
14.500000000,-0.561881006
14.600000000,-0.582446790
14.700000000,-0.582446790
14.800000000,-0.597871128
14.900000000,-0.603012574
15.000000000,-0.592729682
15.100000000,-0.556739560
15.200000000,-0.551598114
15.300000000,-0.577305344
15.400000000,-0.567022452
15.500000000,-0.567022452
15.600000000,-0.582446790
15.700000000,-0.608154020
15.800000000,-0.546456668
15.900000000,-0.587588236
16.000000000,-0.567022452
16.100000000,-0.551598114
16.200000000,-0.577305344
16.300000000,-0.597871128
16.400000000,-0.582446790
16.500000000,-0.587588236
16.600000000,-0.587588236
16.700000000,-0.582446790
16.800000000,-0.597871128
16.900000000,-0.608154020
17.000000000,-0.618436912
17.100000000,-0.628719804
17.200000000,-0.608154020
17.300000000,-0.633861250
17.400000000,-0.644144142
17.500000000,-0.639002696
17.600000000,-0.644144142
17.700000000,-0.649285588
17.800000000,-0.680134264
17.900000000,-0.674992818
18.000000000,-0.669851372
18.100000000,-0.674992818
18.200000000,-0.669851372
18.300000000,-0.674992818
18.400000000,-0.669851372
18.500000000,-0.685275710
18.600000000,-0.685275710
18.700000000,-0.690417156
18.800000000,-0.695558602
18.900000000,-0.695558602
19.000000000,-0.705841494
19.100000000,-0.695558602
19.200000000,-0.710982940
19.300000000,-0.716124386
19.400000000,-0.690417156
19.500000000,-0.710982940
19.600000000,-0.731548724
19.700000000,-0.710982940
19.800000000,-0.726407278
19.900000000,-0.752114508
