# 2023-04-06, 16:35:06.776196
# fs = 10 Hz, N = 800
# NI 9201, 23.0.0
t,ai0,ai1
0.000000000,0.024243838,-0.001305376
0.100000000,0.034526730,-0.001305376
0.200000000,0.039668176,0.003835392
0.300000000,0.044809622,0.019257696
0.400000000,0.024243838,0.014116928
0.500000000,0.024243838,-0.001305376
0.600000000,0.013960946,0.008976160
0.700000000,0.019102392,0.008976160
0.800000000,0.034526730,-0.006446144
0.900000000,0.034526730,0.008976160
1.000000000,0.034526730,-0.001305376
1.100000000,0.019102392,0.003835392
1.200000000,0.034526730,0.008976160
1.300000000,0.024243838,-0.001305376
1.400000000,-0.001463392,0.003835392
1.500000000,0.039668176,-0.011586912
1.600000000,0.024243838,-0.011586912
1.700000000,0.003678054,-0.006446144
1.800000000,-0.001463392,-0.032149984
1.900000000,-0.016887730,-0.027009216
2.000000000,0.013960946,-0.021868448
2.100000000,-0.016887730,-0.021868448
2.200000000,0.019102392,-0.016727680
2.300000000,0.024243838,-0.021868448
2.400000000,0.003678054,-0.016727680
2.500000000,-0.006604838,-0.016727680
2.600000000,0.003678054,-0.027009216
2.700000000,0.003678054,-0.032149984
2.800000000,-0.011746284,-0.016727680
2.900000000,-0.001463392,-0.016727680
3.000000000,0.003678054,-0.042431520
3.100000000,-0.011746284,-0.032149984
3.200000000,0.003678054,-0.032149984
3.300000000,-0.006604838,-0.016727680
3.400000000,-0.022029176,-0.037290752
3.500000000,-0.022029176,-0.047572288
3.600000000,-0.027170622,-0.047572288
3.700000000,-0.011746284,-0.027009216
3.800000000,-0.027170622,-0.057853824
3.900000000,-0.042594960,-0.042431520
4.000000000,-0.052877852,-0.088698432
4.100000000,-0.078585082,-0.109261504
4.200000000,-0.078585082,-0.104120736
4.300000000,-0.073443636,-0.083557664
4.400000000,-0.052877852,-0.098979968
4.500000000,-0.078585082,-0.088698432
4.600000000,-0.058019298,-0.073276128
4.700000000,-0.027170622,-0.083557664
4.800000000,-0.042594960,-0.062994592
4.900000000,-0.052877852,-0.057853824
5.000000000,-0.027170622,-0.073276128
5.100000000,-0.027170622,-0.073276128
5.200000000,-0.058019298,-0.088698432
5.300000000,-0.063160744,-0.073276128
5.400000000,-0.073443636,-0.093839200
5.500000000,-0.052877852,-0.093839200
5.600000000,-0.068302190,-0.104120736
5.700000000,-0.078585082,-0.119543040
5.800000000,-0.094009420,-0.119543040
5.900000000,-0.145423880,-0.170950720
6.000000000,-0.145423880,-0.170950720
6.100000000,-0.191696894,-0.206936096
6.200000000,-0.171131110,-0.212076864
6.300000000,-0.212262678,-0.232639936
6.400000000,-0.212262678,-0.242921472
6.500000000,-0.232828462,-0.263484544
6.600000000,-0.273960030,-0.299469920
6.700000000,-0.273960030,-0.314892224
6.800000000,-0.284242922,-0.320032992
6.900000000,-0.279101476,-0.304610688
7.000000000,-0.289384368,-0.304610688
7.100000000,-0.263677138,-0.284047616
7.200000000,-0.268818584,-0.299469920
7.300000000,-0.237969908,-0.299469920
7.400000000,-0.268818584,-0.294329152
7.500000000,-0.248252800,-0.299469920
7.600000000,-0.217404124,-0.237780704
7.700000000,-0.181414002,-0.206936096
7.800000000,-0.176272556,-0.201795328
7.900000000,-0.140282434,-0.176091488
8.000000000,-0.109433758,-0.129824576
8.100000000,-0.083726528,-0.093839200
8.200000000,-0.068302190,-0.093839200
8.300000000,-0.104292312,-0.114402272
8.400000000,-0.114575204,-0.119543040
8.500000000,-0.129999542,-0.129824576
8.600000000,-0.135140988,-0.145246880
8.700000000,-0.186555448,-0.181232256
8.800000000,-0.222545570,-0.232639936
8.900000000,-0.253394246,-0.258343776
9.000000000,-0.273960030,-0.284047616
9.100000000,-0.279101476,-0.299469920
9.200000000,-0.253394246,-0.299469920
9.300000000,-0.253394246,-0.263484544
9.400000000,-0.284242922,-0.299469920
9.500000000,-0.330515936,-0.340596064
9.600000000,-0.330515936,-0.356018368
9.700000000,-0.376788950,-0.386862976
9.800000000,-0.356223166,-0.407426048
9.900000000,-0.304808706,-0.350877600
10.000000000,-0.366506058,-0.361159136
10.100000000,-0.340798828,-0.392003744
10.200000000,-0.356223166,-0.376581440
10.300000000,-0.345940274,-0.371440672
10.400000000,-0.320233044,-0.325173760
10.500000000,0.003678054,-0.597634464
10.600000000,0.533246992,0.512771424
10.700000000,0.008819500,0.502489888
10.800000000,0.008819500,0.502489888
10.900000000,-0.181414002,-0.191513792
11.000000000,-0.129999542,-0.155528416
11.100000000,-0.140282434,-0.145246880
11.200000000,-0.129999542,-0.165809952
11.300000000,-0.109433758,-0.155528416
11.400000000,-0.160848218,-0.176091488
11.500000000,0.528105546,0.512771424
11.600000000,0.533246992,0.507630656
11.700000000,0.533246992,0.512771424
11.800000000,0.533246992,0.507630656
11.900000000,0.533246992,0.502489888
12.000000000,0.528105546,0.502489888
12.100000000,0.528105546,0.507630656
12.200000000,0.533246992,0.512771424
12.300000000,0.528105546,0.502489888
12.400000000,0.533246992,0.512771424
12.500000000,0.522964100,0.507630656
12.600000000,0.528105546,0.507630656
12.700000000,0.533246992,0.502489888
12.800000000,0.522964100,0.502489888
12.900000000,-0.073443636,-0.093839200
13.000000000,-0.078585082,-0.083557664
13.100000000,-0.068302190,-0.073276128
13.200000000,-0.058019298,-0.078416896
13.300000000,-0.037453514,-0.073276128
13.400000000,-0.063160744,-0.088698432
13.500000000,-0.058019298,-0.083557664
13.600000000,-0.068302190,-0.088698432
13.700000000,-0.063160744,-0.088698432
13.800000000,-0.068302190,-0.093839200
13.900000000,-0.052877852,-0.073276128
14.000000000,-0.052877852,-0.073276128
14.100000000,-0.052877852,-0.088698432
14.200000000,-0.058019298,-0.088698432
14.300000000,-0.037453514,-0.073276128
14.400000000,-0.047736406,-0.068135360
14.500000000,-0.042594960,-0.042431520
14.600000000,-0.042594960,-0.057853824
14.700000000,-0.006604838,-0.037290752
14.800000000,-0.022029176,-0.047572288
14.900000000,-0.001463392,-0.037290752
15.000000000,-0.016887730,-0.042431520
15.100000000,-0.042594960,-0.057853824
15.200000000,-0.037453514,-0.037290752
15.300000000,-0.042594960,-0.052713056
15.400000000,-0.032312068,-0.057853824
15.500000000,-0.058019298,-0.078416896
15.600000000,-0.063160744,-0.068135360
15.700000000,-0.058019298,-0.083557664
15.800000000,-0.073443636,-0.088698432
15.900000000,-0.094009420,-0.114402272
16.000000000,-0.073443636,-0.093839200
16.100000000,-0.088867974,-0.109261504
16.200000000,-0.073443636,-0.093839200
16.300000000,-0.073443636,-0.098979968
16.400000000,-0.099150866,-0.098979968
16.500000000,-0.114575204,-0.129824576
16.600000000,-0.094009420,-0.124683808
16.700000000,-0.078585082,-0.104120736
16.800000000,-0.063160744,-0.083557664
16.900000000,-0.073443636,-0.078416896
17.000000000,-0.047736406,-0.068135360
17.100000000,-0.042594960,-0.088698432
17.200000000,-0.042594960,-0.078416896
17.300000000,-0.037453514,-0.057853824
17.400000000,-0.037453514,-0.062994592
17.500000000,-0.011746284,-0.052713056
17.600000000,-0.032312068,-0.052713056
17.700000000,-0.011746284,-0.057853824
17.800000000,-0.027170622,-0.047572288
17.900000000,0.003678054,-0.027009216
18.000000000,-0.022029176,-0.042431520
18.100000000,-0.001463392,-0.027009216
18.200000000,0.003678054,-0.032149984
18.300000000,-0.022029176,-0.032149984
18.400000000,-0.016887730,-0.042431520
18.500000000,-0.006604838,-0.057853824
18.600000000,-0.022029176,-0.047572288
18.700000000,-0.032312068,-0.047572288
18.800000000,-0.016887730,-0.042431520
18.900000000,-0.027170622,-0.073276128
19.000000000,-0.022029176,-0.073276128
19.100000000,-0.032312068,-0.047572288
19.200000000,-0.022029176,-0.068135360
19.300000000,-0.042594960,-0.073276128
19.400000000,-0.052877852,-0.062994592
19.500000000,-0.058019298,-0.083557664
19.600000000,-0.052877852,-0.083557664
19.700000000,-0.047736406,-0.068135360
19.800000000,-0.032312068,-0.073276128
19.900000000,-0.016887730,-0.047572288
20.000000000,-0.037453514,-0.052713056
20.100000000,-0.001463392,-0.037290752
20.200000000,0.003678054,-0.037290752
20.300000000,-0.001463392,-0.032149984
20.400000000,-0.001463392,-0.042431520
20.500000000,0.003678054,-0.027009216
20.600000000,-0.006604838,-0.052713056
20.700000000,-0.011746284,-0.037290752
20.800000000,-0.016887730,-0.052713056
20.900000000,-0.001463392,-0.052713056
21.000000000,0.008819500,-0.047572288
21.100000000,0.003678054,-0.042431520
21.200000000,-0.011746284,-0.047572288
21.300000000,-0.016887730,-0.057853824
21.400000000,0.003678054,-0.037290752
21.500000000,-0.016887730,-0.032149984
21.600000000,-0.052877852,-0.052713056
21.700000000,-0.016887730,-0.073276128
21.800000000,0.039668176,-0.016727680
21.900000000,-0.011746284,-0.042431520
22.000000000,0.008819500,-0.001305376
22.100000000,0.034526730,-0.037290752
22.200000000,-0.001463392,-0.011586912
22.300000000,0.019102392,-0.047572288
22.400000000,0.024243838,-0.016727680
22.500000000,0.044809622,-0.052713056
22.600000000,0.013960946,-0.021868448
22.700000000,0.003678054,-0.016727680
22.800000000,0.029385284,-0.021868448
22.900000000,0.049951068,-0.021868448
23.000000000,0.003678054,0.003835392
23.100000000,0.019102392,-0.052713056
23.200000000,0.055092514,-0.011586912
23.300000000,0.003678054,-0.037290752
23.400000000,0.049951068,-0.016727680
23.500000000,0.044809622,-0.042431520
23.600000000,0.019102392,-0.037290752
23.700000000,0.029385284,0.003835392
23.800000000,0.029385284,-0.021868448
23.900000000,0.029385284,-0.021868448
24.000000000,-0.001463392,-0.016727680
24.100000000,0.008819500,-0.011586912
24.200000000,0.013960946,-0.011586912
24.300000000,0.049951068,-0.001305376
24.400000000,0.003678054,-0.021868448
24.500000000,0.044809622,-0.011586912
24.600000000,0.024243838,-0.011586912
24.700000000,0.024243838,0.008976160
24.800000000,0.029385284,-0.021868448
24.900000000,0.039668176,-0.016727680
25.000000000,0.008819500,0.003835392
25.100000000,0.019102392,-0.011586912
25.200000000,0.055092514,-0.001305376
25.300000000,0.034526730,-0.021868448
25.400000000,0.034526730,-0.006446144
25.500000000,0.039668176,-0.006446144
25.600000000,0.055092514,-0.006446144
25.700000000,0.039668176,-0.011586912
25.800000000,0.024243838,0.008976160
25.900000000,0.049951068,-0.027009216
26.000000000,0.024243838,-0.001305376
26.100000000,0.055092514,-0.011586912
26.200000000,0.034526730,-0.011586912
26.300000000,0.029385284,-0.001305376
26.400000000,0.055092514,0.008976160
26.500000000,0.039668176,0.008976160
26.600000000,0.034526730,-0.001305376
26.700000000,0.060233960,0.003835392
26.800000000,0.055092514,0.029539232
26.900000000,0.085941190,0.008976160
27.000000000,0.075658298,0.019257696
27.100000000,0.111648420,0.065524608
27.200000000,0.106506974,0.044961536
27.300000000,0.106506974,0.034680000
27.400000000,0.085941190,0.044961536
27.500000000,0.106506974,0.050102304
27.600000000,0.101365528,0.060383840
27.700000000,0.116789866,0.034680000
27.800000000,0.085941190,0.029539232
27.900000000,0.132214204,0.065524608
28.000000000,0.121931312,0.060383840
28.100000000,0.085941190,0.060383840
28.200000000,0.121931312,0.065524608
28.300000000,0.137355650,0.075806144
28.400000000,0.116789866,0.075806144
28.500000000,0.127072758,0.044961536
28.600000000,0.106506974,0.065524608
28.700000000,0.111648420,0.075806144
28.800000000,0.101365528,0.060383840
28.900000000,0.111648420,0.070665376
29.000000000,0.075658298,0.034680000
29.100000000,0.096224082,0.024398464
29.200000000,0.096224082,0.034680000
29.300000000,0.096224082,0.050102304
29.400000000,0.116789866,0.044961536
29.500000000,0.121931312,0.065524608
29.600000000,0.111648420,0.060383840
29.700000000,0.142497096,0.086087680
29.800000000,0.111648420,0.070665376
29.900000000,0.137355650,0.086087680
30.000000000,0.137355650,0.080946912
30.100000000,0.121931312,0.060383840
30.200000000,0.121931312,0.060383840
30.300000000,0.137355650,0.060383840
30.400000000,0.147638542,0.091228448
30.500000000,0.127072758,0.065524608
30.600000000,0.152779988,0.086087680
30.700000000,0.127072758,0.070665376
30.800000000,0.142497096,0.086087680
30.900000000,0.121931312,0.080946912
31.000000000,0.142497096,0.091228448
31.100000000,0.137355650,0.080946912
31.200000000,0.147638542,0.086087680
31.300000000,0.147638542,0.086087680
31.400000000,0.142497096,0.096369216
31.500000000,0.163062880,0.101509984
31.600000000,0.152779988,0.080946912
31.700000000,0.147638542,0.106650752
31.800000000,0.152779988,0.101509984
31.900000000,0.152779988,0.086087680
32.000000000,0.163062880,0.091228448
32.100000000,0.178487218,0.111791520
32.200000000,0.183628664,0.111791520
32.300000000,0.168204326,0.101509984
32.400000000,0.183628664,0.132354592
32.500000000,0.199053002,0.116932288
32.600000000,0.204194448,0.111791520
32.700000000,0.199053002,0.122073056
32.800000000,0.193911556,0.137495360
32.900000000,0.199053002,0.116932288
33.000000000,0.204194448,0.137495360
33.100000000,0.204194448,0.132354592
33.200000000,0.183628664,0.127213824
33.300000000,0.183628664,0.127213824
33.400000000,0.204194448,0.122073056
33.500000000,0.188770110,0.132354592
33.600000000,0.178487218,0.127213824
33.700000000,0.193911556,0.152917664
33.800000000,0.214477340,0.158058432
33.900000000,0.214477340,0.142636128
34.000000000,0.224760232,0.147776896
34.100000000,0.235043124,0.173480736
34.200000000,0.240184570,0.178621504
34.300000000,0.229901678,0.173480736
34.400000000,0.250467462,0.209466112
34.500000000,0.255608908,0.204325344
34.600000000,0.307023368,0.219747648
34.700000000,0.317306260,0.255733024
34.800000000,0.307023368,0.255733024
34.900000000,0.348154936,0.281436864
35.000000000,0.337872044,0.276296096
35.100000000,0.373862166,0.296859168
35.200000000,0.368720720,0.312281472
35.300000000,0.373862166,0.312281472
35.400000000,0.358437828,0.317422240
35.500000000,0.358437828,0.301999936
35.600000000,0.394427950,0.317422240
35.700000000,0.394427950,0.332844544
35.800000000,0.404710842,0.343126080
35.900000000,0.379003612,0.322563008
36.000000000,0.414993734,0.353407616
36.100000000,0.379003612,0.312281472
36.200000000,0.394427950,0.358548384
36.300000000,0.384145058,0.327703776
36.400000000,0.394427950,0.327703776
36.500000000,0.394427950,0.327703776
36.600000000,0.409852288,0.353407616
36.700000000,0.389286504,0.327703776
36.800000000,0.394427950,0.332844544
36.900000000,0.353296382,0.301999936
37.000000000,0.373862166,0.296859168
37.100000000,0.353296382,0.291718400
37.200000000,0.337872044,0.286577632
37.300000000,0.332730598,0.271155328
37.400000000,0.322447706,0.291718400
37.500000000,0.317306260,0.276296096
37.600000000,0.322447706,0.276296096
37.700000000,0.317306260,0.240310720
37.800000000,0.312164814,0.255733024
37.900000000,0.307023368,0.250592256
38.000000000,0.312164814,0.235169952
38.100000000,0.276174692,0.219747648
38.200000000,0.265891800,0.209466112
38.300000000,0.255608908,0.199184576
38.400000000,0.271033246,0.214606880
38.500000000,0.276174692,0.219747648
38.600000000,0.245326016,0.199184576
38.700000000,0.255608908,0.188903040
38.800000000,0.235043124,0.204325344
38.900000000,0.224760232,0.204325344
39.000000000,0.219618786,0.188903040
39.100000000,0.235043124,0.173480736
39.200000000,0.235043124,0.188903040
39.300000000,0.214477340,0.163199200
39.400000000,0.219618786,0.168339968
39.500000000,0.204194448,0.158058432
39.600000000,0.219618786,0.173480736
39.700000000,0.430418072,-0.073276128
39.800000000,0.450983856,-0.062994592
39.900000000,0.450983856,-0.078416896
40.000000000,0.435559518,-0.062994592
40.100000000,0.420135180,-0.073276128
40.200000000,0.204194448,0.142636128
40.300000000,0.199053002,0.142636128
40.400000000,0.204194448,0.152917664
40.500000000,0.219618786,0.147776896
40.600000000,0.178487218,0.122073056
40.700000000,0.193911556,0.132354592
40.800000000,0.178487218,0.132354592
40.900000000,0.199053002,0.137495360
41.000000000,0.183628664,0.111791520
41.100000000,0.168204326,0.122073056
41.200000000,0.173345772,0.106650752
41.300000000,0.178487218,0.116932288
41.400000000,0.157921434,0.106650752
41.500000000,0.147638542,0.065524608
41.600000000,0.157921434,0.086087680
41.700000000,0.147638542,0.080946912
41.800000000,0.137355650,0.065524608
41.900000000,0.152779988,0.080946912
42.000000000,0.152779988,0.086087680
42.100000000,0.147638542,0.060383840
42.200000000,0.142497096,0.050102304
42.300000000,0.116789866,0.055243072
42.400000000,0.147638542,0.070665376
42.500000000,0.147638542,0.086087680
42.600000000,0.137355650,0.070665376
42.700000000,0.147638542,0.070665376
42.800000000,0.142497096,0.080946912
42.900000000,0.132214204,0.075806144
43.000000000,0.152779988,0.086087680
43.100000000,0.168204326,0.116932288
43.200000000,0.152779988,0.101509984
43.300000000,0.178487218,0.106650752
43.400000000,0.183628664,0.111791520
43.500000000,0.188770110,0.127213824
43.600000000,0.178487218,0.142636128
43.700000000,0.209335894,0.147776896
43.800000000,0.235043124,0.163199200
43.900000000,0.219618786,0.158058432
44.000000000,0.240184570,0.178621504
44.100000000,0.255608908,0.188903040
44.200000000,0.296740476,0.214606880
44.300000000,0.301881922,0.255733024
44.400000000,0.327589152,0.240310720
44.500000000,0.337872044,0.271155328
44.600000000,0.348154936,0.276296096
44.700000000,0.358437828,0.271155328
44.800000000,0.343013490,0.276296096
44.900000000,0.363579274,0.276296096
45.000000000,0.389286504,0.327703776
45.100000000,0.379003612,0.307140704
45.200000000,0.358437828,0.301999936
45.300000000,0.404710842,0.312281472
45.400000000,0.389286504,0.317422240
45.500000000,0.379003612,0.312281472
45.600000000,0.389286504,0.317422240
45.700000000,0.363579274,0.276296096
45.800000000,0.353296382,0.276296096
